state,bill_name,bill_summary,status,bill_url,lastAction_date,lastAction_main
TX,HR914,In memory of former State Representative Tom Bass.,Pass,https://legiscan.com/TX/bill/HR914/2019,2019-04-11,Reported enrolled
MS,HB968,An Act To Authorize Any County Or Municipality To Hold An Election On The Question Of Permitting Nonpartisan Preferential Elections Or Retaining Partisan Primary Elections; To Provide The Method For Conducting The Nonpartisan Preferential Election If...,Fail,https://legiscan.com/MS/bill/HB968/2019,2019-02-05,Died In Committee
IL,HB2246,"Amends the Election Code. Provides that each election precinct shall contain 1,200 voters (currently, 500 voters in counties, 600 voters in a municipality with a board of election commissioners and fewer than 500,000 inhabitants, or 400 voters in a m...",Intro,https://legiscan.com/IL/bill/HB2246/2019,2019-03-29,To House Rules Committee
IL,SB1147,"Amends the Election Code. Provides that each election precinct shall contain 1,200 voters (currently, 500 voters in counties, 600 voters in a municipality with a board of election commissioners and fewer than 500,000 inhabitants, or 400 voters in a m...",Intro,https://legiscan.com/IL/bill/SB1147/2019,2019-03-28,To Senate Assignments Committee
KY,SR2,Adopt Rules of Procedure for the 2019 Regular Session of the Senate.,Pass,https://legiscan.com/KY/bill/SR2/2019,2019-01-08,adopted by voice vote
UT,SB0197,Law Enforcement Agency Amendments,Pass,https://legiscan.com/UT/bill/SB0197/2019,2019-03-25,Governor Signed in Lieutenant Governor's office for filing
MS,SB2258,"An Act To Amend Section 23-15-49, Mississippi Code Of 1972, To Authorize Qualified Electors To Submit Voter Registration Applications Through A Secure Internet Website Established By The Secretary Of State; To Establish The Procedure By Which The Cou...",Fail,https://legiscan.com/MS/bill/SB2258/2019,2019-02-05,Died In Committee
MO,SR19,Modifies Senate Rules 6 and 25,Pass,https://legiscan.com/MO/bill/SR19/2019,0000-00-00,"S adopted, as amended"
VA,SJR68,Constitutional amendment (first resolution); apportionment; criteria for electoral districts. Provides the criteria for electoral districts drawn by the General Assembly. The amendment directs that electoral districts are (i) to be composed of contig...,Intro,https://legiscan.com/VA/bill/SJR68/2019,2018-11-30,To Senate Privileges and Elections Committee
MO,SB181,WITHDRAWN,Intro,https://legiscan.com/MO/bill/SB181/2019,2019-01-02,Bill Withdrawn
VA,SJR258,Constitutional amendment (first resolution); political reform. Prohibits the establishment of electoral districts that intentionally or unduly favor or disfavor any political party and requires the General Assembly to regulate the role of money in el...,Intro,https://legiscan.com/VA/bill/SJR258/2019,2019-01-09,Passed by indefinitely in Privileges and Elections (12-Y 2-N)
WA,SB5269,Reorganizing school districts statewide.,Intro,https://legiscan.com/WA/bill/SB5269/2019,2019-01-16,To Senate Early Learning & K-12 Education Committee
NM,SJR9,"Public Education Commission, Ca",Intro,https://legiscan.com/NM/bill/SJR9/2019,2019-01-21,Action Postponed Indefinitely
NM,HM6,Risk For Undercount In 2020 Census,Intro,https://legiscan.com/NM/bill/HM6/2019,2019-02-05,Action Postponed Indefinitely
NM,SM11,New Mexico 2020 Census,Intro,https://legiscan.com/NM/bill/SM11/2019,2019-02-11,Action Postponed Indefinitely
CT,HB05611,To provide for the adjustment of population data so as to count incarcerated persons as residents of their last town of residence rather than as residents of the town in which the correctional facility is located.,Intro,https://legiscan.com/CT/bill/HB05611/2019,2019-02-11,To Joint Government Administration and Elections Committee
WA,HB2060,Concerning state preemption of nonuniform voting practices and procedures.,Intro,https://legiscan.com/WA/bill/HB2060/2019,2019-02-15,To House State Government & Tribal Relations Committee
GA,HR260,A RESOLUTION strongly opposing a request by the United States Department of Justice to add a citizenship question to Census 2020; and for other purposes.,Intro,https://legiscan.com/GA/bill/HR260/2019,2019-02-21,To House Judiciary Committee
IN,HCR0022,"A CONCURRENT RESOLUTION congratulating members of Delta Sigma Theta Sorority, Inc. on Delta Day at the Indiana State Capitol on this 26th day of February, 2019.",Pass,https://legiscan.com/IN/bill/HCR0022/2019,2019-02-27,Returned to the House
KY,SB2,Create a new section of KRS Chapter 26A to allow appointment of a special judge in certain civil actions.,Engross,https://legiscan.com/KY/bill/SB2/2019,2019-03-04,To House Judiciary Committee
FL,S0272,"Repealing provisions relating to the Florida Election Campaign Financing Act; deleting provisions governing the public funding of campaigns for candidates for statewide office who agree to certain expenditure limits, etc.",Intro,https://legiscan.com/FL/bill/S0272/2019,2019-03-05,To Senate Judiciary Committee
ID,S1115,APPROPRIATIONS -- LEGISLATIVE BRANCH -- Relates to the appropriation to the Legislative Branch for fiscal year 2019.,Pass,https://legiscan.com/ID/bill/S1115/2019,2019-03-07,Session Law Chapter 61 Effective: 03/07/2019
TN,HR0019,"Order of Elks, National Civil Liberties Annual Summit",Intro,https://legiscan.com/TN/bill/HR0019/2019,2019-03-07,Withdrawn.
TN,HJR0246,Lois Everett,Intro,https://legiscan.com/TN/bill/HJR0246/2019,2019-03-07,Withdrawn.
TN,HJR0243,Gregory L. Dodson,Intro,https://legiscan.com/TN/bill/HJR0243/2019,2019-03-07,Withdrawn.
TN,HJR0241,Calvin Drew,Intro,https://legiscan.com/TN/bill/HJR0241/2019,2019-03-07,Withdrawn.
TN,HJR0240,"Richard A. Dennis, Sr.",Intro,https://legiscan.com/TN/bill/HJR0240/2019,2019-03-07,Withdrawn.
TN,HJR0247,Damein Kirkwood,Intro,https://legiscan.com/TN/bill/HJR0247/2019,2019-03-07,Withdrawn.
TN,HJR0242,Yvonne Kent,Intro,https://legiscan.com/TN/bill/HJR0242/2019,2019-03-07,Withdrawn.
TN,HJR0251,"Order of Elks, National Civil Liberties Annual Summit",Intro,https://legiscan.com/TN/bill/HJR0251/2019,2019-03-07,Withdrawn.
TN,HJR0244,E. Yvonne Joyce,Intro,https://legiscan.com/TN/bill/HJR0244/2019,2019-03-07,Withdrawn.
TN,HJR0250,"Leonard J. Polk, Jr.",Intro,https://legiscan.com/TN/bill/HJR0250/2019,2019-03-07,Withdrawn.
TN,HJR0248,Carolyn Toney,Intro,https://legiscan.com/TN/bill/HJR0248/2019,2019-03-07,Withdrawn.
TN,HJR0252,Margaret D. Scott,Intro,https://legiscan.com/TN/bill/HJR0252/2019,2019-03-07,Withdrawn.
TN,HJR0249,Fred Martin,Intro,https://legiscan.com/TN/bill/HJR0249/2019,2019-03-07,Withdrawn.
TN,HJR0245,Leslie Jones,Intro,https://legiscan.com/TN/bill/HJR0245/2019,2019-03-07,Withdrawn.
PA,HR136,A Resolution urging the United States Census Bureau to change its policy of recording the residence of incarcerated individuals from the location of the correctional facilities to the last known home address of the incarcerated individuals.,Intro,https://legiscan.com/PA/bill/HR136/2019,2019-03-08,To House State Government Committee
WI,SB108,Vacancies in elective offices in cities and villages.,Intro,https://legiscan.com/WI/bill/SB108/2019,2019-03-15,"To Senate Elections, Ethics and Rural Issues Committee"
WI,AB89,Vacancies in elective offices in cities and villages.,Intro,https://legiscan.com/WI/bill/AB89/2019,2019-03-21,To House Campaigns and Elections Committee
TX,HCR144,"In memory of former House Speaker Pro Tempore D. R. ""Tom"" Uher of Bay City.",Intro,https://legiscan.com/TX/bill/HCR144/2019,2019-03-28,Filed
CA,AR27,Relative to the 2020 Decennial Census.,Pass,https://legiscan.com/CA/bill/AR27/2019,2019-04-01,Read. Adopted.
MT,SJ17,Interim study of PSC composition,Intro,https://legiscan.com/MT/bill/SJ17/2019,2019-04-03,(S) Tabled in Committee (S) State Administration
FL,H0615,Repeals provisions relating to Florida Election Campaign Financing Act; deletes provisions governing public funding of campaigns for candidates for statewide office who agree to certain expenditure limits.,Intro,https://legiscan.com/FL/bill/H0615/2019,2019-04-04,Placed on Calendar
TN,HB0699,"As introduced, establishes the Tennessee Plane Coordinate System as new system of defining and stating geographic positions and locations in Tennessee. - Amends TCA Title 3, Chapter 1, Part 1; Title 4, Chapter 16 and Title 66, Chapter 6.",Enroll,https://legiscan.com/TN/bill/HB0699/2019,2019-04-16,Transmitted to Governor for his action.
NC,H820,"Honor Arlie Culp, Former Member of the GA",Intro,https://legiscan.com/NC/bill/H820/2019,2019-04-16,Filed
MD,HB67,Establishing the Potomac Compact for Fair Representation; providing that a compacting state is not required to comply with the Compact under certain circumstances; establishing the Congressional Districting Commission to develop a congressional distr...,Intro,https://legiscan.com/MD/bill/HB67/2019,2019-03-14,Unfavorable Report by House Rules and Executive Nominations
MS,SB2909,An Act To Provide That The Secretary Of State Shall Promulgate Rules And Regulations For The Verification By The Registrar Of A Person's Eligibility To Be An Elector; To Provide That Those Rules And Regulations Shall Also Prescribe The Procedure For ...,Fail,https://legiscan.com/MS/bill/SB2909/2019,2019-02-05,Died In Committee
MN,SF1185,Election of state legislators without political party designation establishment; election public subsidy program modification,Intro,https://legiscan.com/MN/bill/SF1185/2019,2019-02-14,To Senate State Government Finance and Policy and Elections Committee
TX,HCR31,Urging Congress to restore and strengthen the Voting Rights Act of 1965.,Intro,https://legiscan.com/TX/bill/HCR31/2019,2019-02-25,To House Elections Committee
KY,HR1,Adopt Rules of Procedure for the 2019 Regular Session of the House of Representatives.,Pass,https://legiscan.com/KY/bill/HR1/2019,2019-01-08,adopted by voice vote
US,SB561,Voting Rights Advancement Act of 2019,Intro,https://legiscan.com/US/bill/SB561/2019,2019-02-26,To Senate Judiciary Committee
KY,HB174,"Create new sections of KRS Chapter 67 to establish a new procedure for the optional consolidation of counties; exclude consolidated local governments, charter county governments, urban-county governments, and unified local governments from the proced...",Intro,https://legiscan.com/KY/bill/HB174/2019,2019-02-06,To House Local Government Committee
NJ,S1934,"Provides that salary and other costs associated with Commissioner of Education's appointment of State monitor and other staff under ""School District Fiscal Accountability Act"" will be paid by State.",Intro,https://legiscan.com/NJ/bill/S1934/2018,2018-02-22,To Senate Education Committee
MS,SB2855,An Act To Restore The Right Of Suffrage To Certain Persons Disqualified By Reason Of Conviction Of A Disenfranchising Crime; To Provide That A Person Shall Be Enfranchised After Completing Any Sentence And Paying Any Fines Imposed By The Sentencing C...,Fail,https://legiscan.com/MS/bill/SB2855/2019,2019-02-05,Died In Committee
MS,HB1346,An Act To Require A Voting Precinct To Be Located On The Campus Of Each Public Or Private Four-year Postsecondary Institution Of Higher Learning; To Provide That Such Voting Precinct Shall Be Used By Students Who Are Duly Enrolled In A Program Of Stu...,Fail,https://legiscan.com/MS/bill/HB1346/2019,2019-02-05,Died In Committee
MN,HF597,"Single-house legislature provided, legislature of 99 members provided by statute, and constitutional amendment proposed.",Intro,https://legiscan.com/MN/bill/HF597/2019,2019-01-31,To House Government Operations Committee
MN,SF757,Constitutional amendment providing for a single-house legislature,Intro,https://legiscan.com/MN/bill/SF757/2019,2019-01-31,To Senate State Government Finance and Policy and Elections Committee
MS,HB488,"An Act To Amend Section 37-7-203, Mississippi Code Of 1972, To Provide For The Election Of Members Of The Boards Of Education In A Municipality Having A Mayor-council Form Of Government At The Same Time As The General Municipal Election And To Establ...",Fail,https://legiscan.com/MS/bill/HB488/2019,2019-02-05,Died In Committee
